section,avg_parking_time
创业路(南油段),4091
文心四路,2895
招商路(蛇口西段),2956
后海大道辅道(蛇口北段),4003
登良路,3171
学府路(前海段),2957
工业九路,3014
文心三路,3551
文心一路,4064
荔园路(蛇口西段),3300
荔园路(蛇口东段),3442
四海路,3562
中心路(后海湾段),4472
金世纪路,3613
龙城路,3814
南头街,3638
海月路(东段),3370
南新路,3361
海德二道（南油段）,3123
文心二路,3744
常兴路,2440
创业路(后海湾段),4218
华明路,3611
后海大道辅道(后海段),3731
海德一道(后海湾段),5583
科技南一路,3727
高新南九道,3843
高新南七道,4256
科技南十路,2876
高新南环路,3355
科技南路,2870
文心五路,3059
海德二道,3927
创业路辅道,3936
文心六路,4012
科技南十二路,3449
高新南十一道,3278
高新南十道,3362
高新南五道,3333
海德一道,3860
高新南三道,2682
海德三道,3696
高新南四道,3145
