berthage,avg_parking_time
207171,13020
210459,11220
211087,10230
210034,9780
202232,7440
210461,7160
211085,6924
207181,6846
211022,6685
211109,6517
210035,6432
207179,6394
203118,6368
207176,6360
207182,6187
207152,6185
207143,6120
210457,6120
207153,5970
207175,5964
207183,5936
210093,5920
211086,5908
211077,5893
210584,5871
207154,5859
210585,5856
210589,5780
207178,5770
207180,5726
207113,5683
210586,5625
210588,5590
203090,5569
205085,5554
207151,5543
207043,5521
207044,5513
207042,5500
207047,5460
201158,5443
203076,5403
207147,5396
207150,5357
203074,5345
211171,5343
210562,5333
207055,5310
207041,5307
204185,5297
210594,5293
207054,5267
203072,5215
207146,5212
210591,5195
203120,5193
207049,5188
210564,5181
207063,5174
207053,5173
207048,5168
211177,5142
211172,5138
207046,5132
207057,5109
203115,5081
211196,5078
210037,5076
207051,5063
210358,5058
207045,5052
211024,5052
210583,5043
211062,5004
204066,4999
210561,4997
207142,4976
210560,4976
203089,4975
207056,4955
210283,4955
210579,4947
211175,4947
207059,4938
210312,4935
210570,4926
211030,4908
210356,4904
207058,4899
210566,4899
210587,4883
210359,4861
208552,4859
210318,4842
203117,4841
210563,4826
210319,4821
208551,4805
210590,4801
207060,4793
202233,4785
211205,4782
211032,4777
207114,4765
207050,4762
210582,4762
203299,4761
211184,4751
207021,4744
210569,4742
203087,4740
208553,4734
210355,4733
210597,4731
210595,4731
207145,4726
207061,4719
204084,4710
201159,4705
208556,4705
210031,4704
211173,4703
203126,4700
210122,4696
210581,4695
208554,4694
210028,4680
211206,4670
207064,4662
203080,4662
204116,4661
210565,4649
207018,4646
204117,4643
211072,4643
203295,4634
204062,4629
208618,4625
208613,4621
203292,4620
203291,4618
211201,4618
204136,4608
203063,4605
207066,4602
210601,4600
204064,4598
204154,4597
211178,4597
210460,4590
207065,4584
211052,4583
207024,4582
204088,4578
208383,4577
210310,4573
202317,4572
210568,4571
207112,4565
210128,4563
202315,4560
211029,4560
204061,4559
207001,4559
211198,4555
211207,4554
211070,4553
211200,4551
211179,4546
203319,4545
211176,4542
205150,4540
210596,4538
204065,4533
211182,4533
204155,4532
207068,4525
207070,4521
210315,4521
207062,4519
204063,4513
207087,4512
210022,4512
210580,4511
208555,4510
211071,4507
210598,4505
208617,4503
205203,4502
211041,4499
204133,4494
204153,4492
205188,4490
207023,4489
208615,4487
210593,4485
207069,4484
205086,4483
204139,4471
207022,4463
204156,4460
210567,4458
210322,4457
207020,4455
204138,4454
207116,4453
208619,4453
207005,4452
211014,4450
210317,4450
203088,4448
210394,4448
207173,4447
208434,4441
211027,4440
208374,4437
207052,4425
211174,4425
208612,4424
210361,4418
204086,4417
207025,4415
208385,4414
211039,4414
211183,4411
211181,4409
204157,4402
207118,4401
210129,4400
211204,4395
210090,4394
207082,4391
208384,4389
203012,4387
203078,4385
210422,4385
202316,4383
210207,4383
203318,4380
207029,4379
211068,4365
207071,4363
211255,4360
210608,4359
208449,4359
203297,4356
208616,4356
210357,4352
208611,4351
210360,4349
207085,4347
210044,4344
210465,4344
210125,4343
208103,4342
205084,4341
207019,4341
205202,4341
203300,4338
204114,4335
204115,4334
203296,4333
210389,4331
208357,4329
210208,4325
210020,4324
207141,4323
208430,4322
208547,4321
208511,4318
203293,4317
203128,4316
211185,4315
207031,4311
208681,4311
210042,4308
210026,4303
208391,4303
203006,4301
204112,4301
208546,4300
208389,4298
210607,4297
208387,4294
204069,4293
204134,4293
207086,4292
208614,4292
210543,4292
210600,4291
211108,4289
208355,4287
207003,4285
211114,4279
208512,4277
210311,4275
210392,4272
210393,4271
208450,4266
210573,4266
210544,4264
205087,4263
208393,4263
205045,4261
207174,4260
208386,4260
205200,4259
210081,4253
208433,4250
210534,4249
203064,4247
205038,4246
204137,4243
204068,4243
210309,4239
203294,4236
203317,4235
207007,4234
205093,4234
208590,4231
210222,4229
207002,4228
207028,4228
211021,4224
203301,4223
205103,4221
208390,4221
208585,4219
203084,4218
207072,4217
208428,4213
210599,4208
208464,4207
208379,4206
208505,4205
208107,4204
208545,4203
210441,4202
210547,4201
210571,4197
208408,4197
208435,4195
210546,4193
208439,4192
211202,4191
210313,4191
203357,4190
210436,4190
211211,4190
207032,4186
203112,4186
203278,4184
210103,4183
208431,4181
208427,4181
205197,4180
210173,4179
204159,4177
207083,4176
208122,4174
203079,4174
211110,4171
211208,4170
210413,4168
208356,4164
205201,4163
203298,4162
208182,4161
208593,4161
208620,4161
211187,4160
208423,4160
205092,4158
210383,4158
203081,4157
205048,4156
210083,4155
203075,4152
204078,4151
207084,4151
210323,4150
210396,4149
208121,4148
204129,4145
211111,4145
211213,4143
210124,4142
208354,4142
211079,4141
210167,4141
208588,4141
204128,4140
204135,4140
210091,4140
208452,4140
211180,4140
211078,4140
208407,4137
208425,4136
205047,4135
210395,4135
208406,4134
211090,4133
205095,4132
205049,4131
203302,4131
203007,4131
208587,4129
208372,4129
205189,4128
210210,4128
211034,4128
203085,4127
210171,4126
204067,4121
203070,4118
207004,4116
208440,4116
207119,4115
204118,4115
210209,4115
210046,4114
204140,4111
205037,4110
208352,4110
203045,4109
211189,4108
208544,4107
210602,4107
208510,4103
208586,4103
203123,4102
203001,4102
211241,4100
205089,4097
208513,4097
205191,4095
211195,4095
208392,4094
207030,4092
208102,4092
208473,4091
207120,4090
204158,4088
206283,4088
210285,4086
203011,4085
210217,4082
211099,4080
205067,4079
210080,4079
204121,4078
204113,4078
210388,4078
210130,4077
204085,4076
207026,4076
203008,4075
208378,4074
205186,4073
210024,4071
203354,4068
208684,4068
208438,4068
201098,4064
208120,4064
208591,4064
210545,4062
203002,4059
208388,4059
208371,4057
208683,4057
201168,4056
205040,4053
210127,4053
210290,4053
201174,4052
208506,4052
208353,4049
208380,4048
208429,4047
203127,4044
208394,4044
201171,4043
208610,4043
205193,4041
201094,4041
210123,4041
208373,4040
210043,4040
211035,4038
208104,4037
203360,4036
207073,4034
208109,4034
208405,4032
201173,4031
204111,4031
201096,4029
211186,4028
208351,4028
208358,4027
211209,4026
211076,4025
205042,4024
205043,4023
201093,4023
208507,4022
210320,4020
208437,4020
210592,4018
210426,4017
208426,4014
210416,4014
211197,4013
208454,4012
208366,4011
211058,4010
208411,4009
208364,4009
208123,4008
201092,4007
211080,4006
208108,4005
207089,4005
208680,4005
208436,4002
201100,4000
203009,4000
208578,4000
208409,3998
204184,3997
204130,3996
208375,3996
208144,3994
210079,3994
210109,3993
205039,3992
208447,3992
205070,3991
211203,3991
208581,3991
210019,3991
201091,3990
211074,3990
205052,3989
205071,3989
210324,3989
210166,3989
210104,3989
205190,3988
211199,3987
211115,3986
208370,3986
205194,3984
207088,3983
204119,3978
205149,3978
205098,3977
208101,3977
210386,3977
203359,3976
203287,3976
205187,3976
210114,3976
211066,3975
201095,3971
208359,3971
203046,3970
208646,3970
210082,3968
208424,3967
208410,3967
201099,3966
208395,3966
203061,3965
205196,3965
208365,3965
210538,3965
203122,3964
208153,3963
210211,3962
210164,3962
211112,3960
201097,3958
210121,3958
207117,3956
204090,3955
205046,3954
210102,3953
203361,3952
210549,3952
207011,3951
208448,3951
208377,3949
205041,3948
203004,3947
208589,3945
208451,3944
204082,3941
210017,3941
207014,3940
208361,3940
211232,3940
203036,3939
211257,3938
204080,3937
204083,3937
208471,3937
202234,3935
211188,3934
203365,3932
208583,3932
208514,3932
203105,3931
208363,3931
210604,3931
208146,3930
208580,3930
208474,3930
210539,3929
208543,3928
210018,3927
203010,3926
205148,3926
205068,3926
208432,3926
207115,3925
201172,3924
208658,3922
211013,3922
208242,3920
210021,3915
208421,3914
208152,3912
202220,3912
210074,3912
201166,3911
203049,3911
210603,3910
203119,3907
210488,3906
203005,3902
208582,3901
211242,3899
203048,3896
210165,3895
210550,3893
210110,3892
203116,3891
208138,3890
205079,3889
208453,3889
208509,3888
205066,3886
211212,3886
210213,3884
210420,3883
210551,3881
210047,3880
201167,3879
205199,3878
207009,3875
208682,3874
204076,3873
205036,3872
210443,3872
208404,3872
201157,3870
204087,3870
204092,3869
208655,3866
208151,3865
211012,3865
203363,3863
207015,3863
207013,3860
211089,3859
203051,3856
205077,3856
207016,3855
210126,3855
204100,3853
208579,3853
205075,3852
208106,3851
210387,3851
208643,3851
203050,3848
207008,3847
203053,3847
204079,3846
208508,3843
204011,3840
210029,3840
210032,3840
204124,3837
205073,3836
208654,3835
208577,3835
210483,3835
205151,3834
204126,3833
204091,3833
208367,3833
208476,3833
201163,3832
206305,3830
206304,3829
205154,3828
205044,3828
208135,3826
205076,3826
208457,3826
202216,3825
205198,3825
205080,3823
204077,3822
208136,3822
207012,3822
208456,3820
211037,3820
211245,3818
208105,3816
202319,3814
210440,3814
210076,3812
205153,3811
203082,3811
211060,3811
208657,3811
210077,3810
206286,3809
205091,3809
211231,3809
208154,3807
208245,3806
210321,3806
210275,3806
205129,3805
211075,3805
208179,3804
204122,3804
208645,3802
206307,3801
208594,3799
208656,3798
210487,3798
210240,3798
211055,3798
206289,3797
205108,3795
202311,3795
208640,3795
208669,3795
210084,3795
210016,3794
211190,3793
210071,3793
208676,3792
208644,3791
211210,3790
208504,3790
210036,3789
208396,3789
205069,3788
211038,3788
210092,3787
203125,3786
210070,3786
208244,3785
206284,3781
208381,3780
208181,3779
206306,3779
208143,3779
208632,3779
202213,3778
208412,3778
203280,3777
208137,3774
205051,3773
208472,3773
211116,3772
207006,3768
205094,3768
208402,3768
210226,3766
205074,3765
211056,3764
211254,3764
208584,3763
208670,3763
205050,3762
210316,3762
208172,3761
208542,3761
210172,3760
203364,3759
207081,3757
208592,3757
208647,3757
210227,3757
208477,3756
206302,3755
208178,3753
